block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
46;sgemm;kernel.c:54-55;95.23;11.69;11.69;11.69;11.69;0;1;
49;sgemm;kernel.c:54-55;2.36;0.29;0.29;0.29;0.29;0;1;
38;sgemm;kernel.c:54-55;0.49;0.06;0.06;0.06;0.06;0;1;
87;sgemm;driver_mesure.c:16-17;0.37;0.05;0.04;0.04;0.04;0;1;
33;sgemm;kernel.c:54-54;0.24;0.03;0.03;0.03;0.03;0;1;
29;sgemm;kernel.c:54-54;0.16;0.02;0.02;0.02;0.02;0;1;
37;sgemm;kernel.c:54-54;0.16;0.02;0.02;0.02;0.02;0;1;
34;sgemm;kernel.c:54-54;0.08;0.01;0.01;0.01;0.01;0;1;
35;sgemm;kernel.c:54-54;0.04;0;0;0;0;0;1;
36;sgemm;kernel.c:54-54;0.04;0;0;0;0;0;1;
43;sgemm;kernel.c:54-54;0.04;0;0;0;0;0;1;
45;sgemm;kernel.c:54-54;0.04;0;0;0;0;0;1;
47;sgemm;kernel.c:54-54;0.04;0;0;0;0;0;1;
48;sgemm;kernel.c:54-54;0.04;0;0;0;0;0;1;
